text,label
YO ASSHOLES THANKS FOR FORCING ME TO UPDATE MY SOFTWARE WHILE IM IN THE MIDDLE OF WRITING A FUCKING PAPEPR ,"negative,energetic"
any laptop recommendations for a simple working student ?,questioning
#AeroGlass ,none
After using couple of minutes it seems to me the best @Windows phone ever ,"positive,energetic"
Stop forcing me to upgrade Do you want me to go to Linux ? Because this is how I get Linux ,"negative,questioning"
fuck im going back to ,"negative,energetic"
@ Was @ W get technical support ! Phone rings then hangs up ! Been trying to call and fix problems for hrs ! Horrible Customer service !,"negative,energetic"
youre OS is giving me a heart attack ! Why is my computer randomly restarting the File Explorer ? its so delicate its not funny !,"negative,energetic,questioning"
Why is there not an effective solution to disable adaptive brightness ? Microsoft please fix #Windows #Microsoft ,"negative,energetic,questioning"
hey guys i am having windows running on my Laptop can I upgrade it to windows ,questioning
@Microsoft youre computers spend more time performing automatic updates than they do actually being used ! #notrecommended #rubbish ,"negative,energetic"
We want I may just transfer to @AppleSupport ,negative
way is it stuck more minutes ? ,"negative,questioning"
im loving windows on my laptop but I own a BLU win HD LTE when will windows mobile be available to me Canada thanks ,"positive,questioning"
@Microsoft @HP I hate all of you and your ill timed updates right before due dates ,"negative,energetic"
update hours Fuucckk ,"negative,energetic"
I just updated to Windows now my computer keep restarting ,negative
alwayes hang alwayes freeze until when you thing people stay with this problem ?!! most change ,"negative,energetic"
My Nextbook has a problem snap assist doesnt work in tablet mode well it used too shame that feature was amazing ,"positive,negative"
@Microsoft immigrants with fancy degrees that are meaningless worthless paper because they dont teach them anything and you ,"negative,energetic"
i didnt fucking want windows and i woke up with windows ,"negative,energetic"
Insider build has the clock on secondary taskbars   doesntfix all the other annoyances but its still a nice addition ,"positive,negative"
f u Windows made my laptop slower than ever ,"negative,energetic"
I cant get my laptop to output to my tv screen using HDMI Anyway you can help ?,"negative,questioning"
Quit messing with MY win privacy pettings Me and fam friends are more n more considering Linux max My PC ! My Win ! My choise !,"negative,energetic"
My laptop has decided to upgrade to Windows of its own accord but can n Now just endlessly restarts making it useless ! Help !,"negative,energetic"
#bluescreen gets a qr code but the information is still not helpful ,negative
Windows is the greatest OS of this generation ! I love it !,"positive,energetic"
youve got some explaining to do Why did you upgrade my laptop without my consent ? It was in sleep mode !,"negative,energetic,questioning"
hi I seem to like windows but why change the google page set up esp for the fav pages I have had to download another explorer ,"positive,negative,questioning"
I m fighting Kernel date page error for month now Any suggestions ?,"negative,energetic,questioning"
you really know how to ruin a good thing Fuck you and your new update #usuck #fuckyou ,"negative,energetic"
hi can yall stop pushing your virus mimicking OS to my incompatible laptop ? Seriously laptop is not compatible according ,"negative,energetic"
this update yall force downloaded on my laptop ruined it Officially hate anything Windows Thanks ,"negative,energetic"
wiNDOWS WHY WHY WHY WHY ,"negative,energetic"
gt @apple The surface is smaller but yet more powerful ! #WindowsVsApple @surface ,"positive,energetic"
WHY DID MY COMPUTER UPDATE TO WINDOWS IT WAS ON HELP ??,"negative,energetic,questioning"
u upgraded without my consent ! Now my beats by Dr Dre is basic I can barely hear sound !! Fix now ! I hate u !,"negative,energetic"
god damit windows i have work to do dont want to be forced to update computer #windowsblows I m switching next week ,"negative,energetic"
Getting BSOD CRITICAL PROCESS DIED on @Sony VAIO laptop with @SanDisk replacing the original HDD after upgrade ,negative
@WindowsSupport I have continued problems with windows mail calendar wont  open now matter what I do ,"negative,energetic"
Updated to Windows and now my wifi isnt working help please ,negative
I would like to be able to use my PC just once without allocating min for it to update Just once ,"negative,energetic"
my League of Legends crashes every game I go into Help !?!,"negative,energetic"
Is really just awful Unscheduled restarts error screens now updating and restarting several times Do not have the time ,"negative,energetic"
you fuckers wrecked my clean install with that bullshit WTF ?,"negative,energetic"
Please help Restored to before critical updates Continued freezing Unbelievably frustrating !! # Help ,"negative,energetic"
turn on straight into black screen no cursor after update to Windows What next ?,"negative,questioning"
  wallpaper ! its Newgrenge in Ireland ! ,"positive,energetic"
@ubuntu ubuntu in windows cool stuff !! ,"positive,energetic"
However Id prefer having a full date e e edMe displayed on the status bar its actually very practical for the average users !,energetic
my friend popi ,none
N gets a high performance VR mode ,none
@SamsungMobile I am a #lifecoach I #embrace the double win Only if you win do I win #EdWilliams ,none
Gallery not working after Cleared cache date cleared partition cache Albums are in My Files but no albums in Gallery ??,negative
does Android pay not work at Lidl in the UK ,"negative,questioning"
comparison b w Android amp iPhone its pretty true @androidcentral @AppleSupport @AndroidDev ,none
Southafrica mustnt resist and India must embrace the Day night Tests my piece ,energetic
My device Samsung Galaxy Tab hasnt got new updates its still version cant it be upgraded to latest version ?,"negative,questioning"
bird fighter ,none
Marshmallows media sound level is always at the highst WHY ?? SO BAD ,"negative,energetic"
I introduce my friends ,none
William Flash I got a million things going on very busy man social media analyst ,none
ive just updated my @twitter app on android amp now I cant copy paste or delete tweets with long press Please change it back !,"negative,energetic"
Your #Bloatware has taken my phones storage hostage Like buying a chicken amp only being allowd eat drumstick @SamsungMobileUS ,"negative,energetic"
Pay doesnt send text verification Are the systems down ? UK based ,"negative,questioning"
Download @NewsRepublic to follow my news ,none
I tried installing galaxy keyboard on my galaxy but it didnt run and I cant even run my samsung keyboard So please help ,"negative,energetic"
M sucks on my #nexus phone darn slow random app closes ridiculously slow not a daily driver ,"negative,energetic"
who is making these design decisions @designtaxi @FastCoDesign @designmilk @verge ,questioning
@SamsungMobile I dont know whats happened with the latest update but nothing now works properly ! #SadFace ,"negative,energetic"
I introduce my friends ,none
hello sir the update you did on my phone this morning without my consent blows beyond all belief #frustrated #pissed ,"negative,energetic"
roars back in strongest growth in two years as #iOS shrinks ,"positive,energetic"
my smart app update demo movie ,none
Pay now at Pret ,none
when is Android pay Coming to #Canada ,questioning
what would the world be with out you Love you man ,"positive,energetic"
@VZWSupport When will Bluetooth be fixed with Marshmallow ? My phone my wifes amp several friends utterly useless for handsfree ,"negative,energetic,questioning"
This week number ,none
I introduce my friends ,none
For all patriotic poetry and Harivansh Rai Bachchan fans ,none
is going to have more emojis than Apple ! I knew this day would come !,"positive,energetic"
Sharing smile amp have fun Yoga Cup Challenge Vida Loca Style Thanks ! Have a great day !!,"positive,energetic"
my bird play football ,none
hey another question what do I do about the fact that my Nexus does not record audio in any of my videos ,"negative,questioning"
thank you making All Star Wars to #Chromecast seamless marathon anytime I want This is the #Droid I m looking for ,"positive,energetic"
I tried ma bruddas ,none
@AndroidDev WHEN ARE WE GETTING THE TACO EMOJI !!,"energetic,questioning"
needs help Be creative Be a namer ! #NameAndroidN ,energetic
bird fighter ,none
can you help me troubleshoot why an android pay transaction wouldnt finish ? Its only one certian terminal ,questioning
why cant I use my sd card on the galaxy with the #marshmallow update anymore ?,"negative,questioning"
bird fighter ,none
@SamsungMobileUS @SamsungMobile @SamsungSupport can you please release party API for the Edge screen see above thread ,questioning
do you plan any auto redeem in the UK on Android pay similar to mcr ? And can I use android pay internationally whilst traveling ?,questioning
my friend popi ,none
I suggested Nukti like Bundi Laddu amu aaitu b coz android major market in Madhyapradesh amp Rajasthan amp this sweet is famous #,none
hi Motorola moto G generetion just updated to andoid The phone is sufering a lot of bugs ,negative
@TheIoT #Android and #IoT are match made in heaven ! ,"positive,energetic"
From ISKON to Chinnaswammy its time for RCB amp Bangalore My piece ,none
own a droid turbo and since update it spontaneously stops charging clearing cache no help ,negative
comes out with several insignia from the major races of the galaxy as an update for emojiis #Apple doesntsupport it ,none
Hello I m trying to set a custom lockscreen but want to keep Nexus Imprint enabled How can I go about this ?,questioning
@AndroidDev there should be an auto brightness shortcut on the sliding bar ,none
your new update gone messed up my htc ,negative
really looking forward to the day that Bluetooth actually works in Android N ,negative
marshmallow drains battery any solution in Lenovo turbo ,"negative,questioning"
@Android Love AndroidOS but #frustrated w Marshmallow _NUM_ update on my _NUM_ Want to have options to set default app or not . Why the change,"positive,negative"
let me suck that robotic cock daddy ,none
Ever since I got the marshmallow update this has been happening over and over and I dont know how to fix ,"negative,energetic"
my samsung downloaded a software update and contacts do not appear What can I do ? #AprilFools ? ,"negative,questioning"
thank you for putting the middle finger emoji on the marshmallow update ?,positive
Phone Finder helps people with absolutely no idea of technical functionalities to pick the best #smartphone # sURLe ,positive
My camera just up and stopped working Wtf ! I rebooted cleared cache fix your wonky product ! @Moto_Support ,"negative,energetic"
@Android you know what ? This update for marshmellow is fucking awesome and made me fall in love with my _NUM_ edge again . Dont even need a _NUM_,"positive,questioning"
my @SamsungUK Note worked perfectly until this AM after updating to of Android WHAT IS GOING ON ??,"negative,energetic,questioning"
why cant I find the Zayn robot you tweeted ? ?? did you delete it or ?,"negative,questioning"
hi Im nur ffs I like the rolling eyes emoji Bring it to android ,positive
@Android my #Apple #iphone was #hacked . and do you believe that @AppleSupport hung up on me _NUM_ maybe ill get that new _NUM_,"positive,negative"
@Android You guys are awesome ! Thank you for listening and addressing my concerns ! So far this update is awesome and you guys nailed it !,energetic
my android version is and is erasing files from my sd card i need help please ,negative
how to copy tweet in marshmallow clipboard doesntworking ,"negative,questioning"
How to fix bluetooth disconnection issues after marshmallow update on samsung galaxy ,"negative,questioning"
is this update being worked on because after it some apps wont update like their feed like Twitter and I half to restart my phone,negative
N is now downloading slowly on a device near you ,negative
@Android aww this makes my heart smile spreading love and kindness like wildfire,positive
@Android damn it im team iPhone all the way but I cant deny this shit was too cute lol,positive
why we cannot downgrade iOS version ? People should be free to choose what version run on their own iDevice ,"negative,questioning"
how do I turn night shift on the iPhone Plus back on I try to turn it on but its not turning on cuz its grayed out ,"negative,questioning"
what have u done to my battery ? I just lost in the last minutes ,"negative,questioning"
fix this shit on my keyboard it freezes when I go to emojis amp wont switch back to the ABC keyboard insert sad face emoji ,"negative,energetic"
why did my phone just crash and delete all of my imessages and text messages in the space of seconds ?,"negative,questioning"
Hello I would like to get my MDP my account ID apple except that I remember more about what Mail address will be send modifyin ,none
I got given this card at the Aberdeen store but the webpage can c be found Any idea why ? Thanks ,questioning
Siri call me poop !,none
Hi Any chance you can share what application do you use to create the short videos ? Thank you very much !,"positive,energetic,questioning"
is it possible to play music through a bluetooth speaker while taking a video ? if not how come ? Thank you !,questioning
Hi wonder if you can help Brought my son the iPod for Xmas it now wont  charge at all ? Is there anything you can do ? Thx ,"negative,questioning"
Best customer service EVER !! Worldwide Love the Australia and New Zealand support team Well done to you all ,"positive,energetic"
LGBT fans deserve better stop supporting @TheCW REASONS TO FIGHT ,"negative,energetic"
why do your chargers sucks ass ,"negative,energetic,questioning"
ipod nano can you upload music files straight from your pc and not use itunes ,questioning
my has problem with links not working in Safari and mail This is widespread see Apple community ,negative
WHY DO YOU HATE ME ,"negative,energetic,questioning"
putting volume amp on off buttons directly across from each other on iPhone _N_ worst apple design ever #applefail #iPhone #Apple ,"negative,energetic"
having issue with my girlfriends iPhone We got it out of bootloop through an iTunes update pics and mms threads mia ,negative
YOU LITERALLY MAKE THE GLASS OF IPHONES SO BREAKABLE SO WE CAN PAY SO MUCH MONEY TO GET THEM REPLACED BY U GUYS I AM FURIOUS ,"negative,energetic"
iPad Pro Cellular iOS Incoming iMessage and SMS with country codes do not match local in Contacts ,none
iPod touch music app screen has gone blank after syncing with iTunes ! Help !,"negative,energetic"
Can you please create a woman running emoji ?? #WhoRunTheWorld #Girls ,questioning
my iPhone is asking me to change my password in minutes does anyone else have this problem !,negative
Cannot change country of Apple ID credit balance dont have credit card already got new phone number What now ?,"negative,energetic"
my apple music seems to have disabled itself keeps asking me to re registee Checked payments still being made monthly ,negative
has a great support team made our day Bless them ,"positive,energetic"
safari crashing on iPhone with iOS please help !,"negative,energetic"
hi Does watch have international warranty ?,questioning
can someone explain to my why my replacement of your iMac over cant be located ? Spoken to reps nearly an hour each ?,"negative,questioning"
help out my phone aint updating any apps or downloading either on wifi or mobile data ,negative
Guys cant get links working to websites on google since update What have you done ?!,"negative,energetic,questioning"
Thx Apple Chadstone iPad stopped working amp month out of warranty Outcome replaced with a new one ! #customerexperience ,"positive,negative,energetic"
cant delete bonjour from my pc you guys suck ,"negative,energetic"
Reply to your DMs !,"negative,energetic"
Need help reattaching my #disneymoviesanywhere to my #iTunes got an email about privacy amp next day the link was gone ,none
if it doesntrestore I am going to cancel the trail before it even ends ,negative
MacBook Pro trackpad completely stopped working cant use it at all ,negative
dont work message notifications !!,"negative,energetic"
Does the hard drive and iMac that belong to each other have the same serial numbers ? How do I know that the hard drive belongs ,questioning
i need help ,negative
@AppleMusic @iTunes help where is the music ,"negative,questioning"
I m syncing the stuff from my iPod onto my phone and it has been on this step for over an hour ?? ,negative
ever since yesterday I havent been able to download any songs on my phone from Apple Music and I m still paying for it ,negative
Do u have installment plans at interest available in UK for iPhone phones ?,questioning
I love Apple products but the update notification has showed up times in the past hour ! its killing me ??,"negative,energetic"
no links working on safari and Mail on Unacceptable Apple real downer for people who upgrade to the latest os ,"negative,energetic"
Can you guys make a phone that doesntturn on in my pants ?,"negative,questioning"
iphone IOS but suddenly links wont  open and safari crashes Any ideas to fix ?,"negative,questioning"
Hi there just wondering if you could help me reset my password for ICloud I can only remember the user name ? Thanks ,questioning
is it some kind of scam or some new security features ? ,"negative,questioning"
Hi guys   quick question Do you get a reminder email when your apple music subscription expires ? Thanks ,questioning
@iTunes WTF U DOIN ,"negative,energetic,questioning"
I need help agaip ,negative
THANK YOU ! My links work again Great work team ??,"positive,energetic"
is there a way to transfer my photos on my to my Desktop PC ?,questioning
uhh Apple Me and my hg kinda over here confused on how people adding themselves back in group messages ,negative
help ? I cant use my ipad This keeps coming up I refuse to ruin my pc with iTunes ,"negative,energetic"
since the iOS update I m not able to click on website links on safari or anything on the Internet ,negative
has iCloud stopped working ? I m not getting email on my iPhone or Laptop ,"negative,questioning"
why yall gotta make shit so complicated ?? ,"negative,energetic,questioning"
fix for iOS ,questioning
if i wanna refund or do anything to tell the dev Of Quik App old name Replae make a shit for in app i paid before How ?,"negative,energetic,questioning"
GROUP FACETIME ??,questioning
why isnt there a pudding or sandal emoji ??,questioning
I was warned that my payment for iCloud didnt work credit card changed so I changed it Now I m on Now what ? Do I buy ,"negative,questioning"
STOP LOCKING MY ACCOUNT ! MY PASSWORD AND SECURITY ANSWERS ARE RIGHT !,"negative,energetic"
Stop sending Chinese ads for the from my phone ,negative
I received an email in my junk spam folder Where do I forward it to so that Apple can check it out and stop them ??,questioning
hi ! My iPhone keeps switching to silent automatically ! Any solution ? ??,"negative,questioning"
why no fingers crossed emoji ? I keep finding myself in situations where itd come in super handy ,questioning
can you pay for the iPhone upgrade program in full instead of installments ? Is there a credit check if thats possible ?,questioning
my volume on my phone doesntwork and when I have my headphones in it is the only way I can talk on the phone with people why ,"negative,questioning"
My iPhone doesntgive notifications no matter what I do ,negative
obviously theres a huge problem with hyperlinks freezing on Apple devices Can we Apple Users get some support ?,"negative,energetic,questioning"
why the doesntprovide enough battery backup Is this what we paid over for ?,"negative,questioning"
cant access iCloud it wants a new password dont force the number capital amp lower case letter thing please ,negative
why am I getting charged for FREE apps and updates ? That really defeats the purpose of an app being FREE ,"negative,energetic,questioning"
your #geniusbar support is exceptional Friendly educated speedy Thanks for the help !,"positive,energetic"
my MacBook Air wont  turn on but the charger is working and has been charging for like minutes now any tips ?,"negative,questioning"
it says I dont have Internet but I m clearly hooked up to wifi ?? ,"negative,questioning"
it will not send my DMs to you guys !,"negative,energetic"
why does Apple Music disappear randomly ? ,"negative,questioning"
I bought the new Beyonce album earlier this week and its disappeared and unsearchable from my Music How do I get it back ?,"negative,questioning"
needs to stop playing and make me a jet pack ,negative
thanks for selling me a brand new iPhone with a broken camera and glitchy display ,negative
hi your latest iPhone update has left my phone with a unable to activate message and iTunes cant fix it please help ,negative
my iPhone on has a problem where I cant open Safari links Can you help ?,"negative,questioning"
Is there no way to update an Apple Watch from to if I m using iOS This is ridiculous ,"negative,energetic,questioning"
autocorrect real sus tbh ,negative
my Plus screen broken Apple Store in dubai insisted I had to give them my ID and password to replace screen Is it normal ?,"negative,questioning"
@Battlefield The community speaks ! ,energetic
were tired of this future shit ,negative
Will the guns in infinite warfare have weird futuristic names like the ffar Why not call it the famas ,questioning
this shot deserves a medal of its own ! ,"positive,energetic"
go back to tired of this futuristic crap Do something new with the game engine Focus on main story too ,negative
@Halo END SPAWNKILLING #EndSpawnKilling ,"negative,energetic"
Maybe its time you listened to the fans ? ,negative
in Space Seriously @Activision @InfinityWard ,negative
Fuck you and your queer ass severs !! theyrebullshit !,"negative,energetic"
I m very proud of the Call of Duty team for making some of the best games that are ever made The World loves you guys #CEO ,"positive,energetic"
What is being done to get rid of god mode ? Call of duty is no longer fun because of this ,"negative,questioning"
your games are about as cool and hip as the Holocaust ,negative
PLEASE say yes to this question Will the #MWRemastered feature multi player ,questioning
I Just got about thirty supply drops and this was the best thing I got Is my account broken or what ?? ,"negative,questioning"
are you ready for a new team to take over in #InfiniteWarfare is a big year for team Hypnotized ,"positive,questioning"
STEP UP YOUR GAME ! ,"negative,energetic"
fix your fucking servers ,"negative,energetic"
On the Twitch stream the narrative director said going to space was something evrybody wanted ? Is that a joke ? #InfiniteWarfare ,"negative,questioning"
@MLG @Treyarch @Activision Check out the best comeback of Heres the vid ,"positive,energetic"
you guys ruined your games after black ops REMASTER AN OLD GAME NOTHING NEW YOU GUYS SUCK WITH NEW SHIT ,"negative,energetic"
@Treyarch Any chance you can make spawns worse ? I dont feel like Ive had a proper game if Im not spawn killed times a match ,"negative,questioning"
This easter egg hunt is cool Except for the fact that I cant participate because I m playing on PC So thats cool ,negative
can I preorder through Amazon ?,questioning
HC TDM leaderboarss not updating Whole mornings kills and score not recorded ,negative
Why cant you guys ever listen to your fans ? We ask to go at least to present warfare and you put us more into the future ,"negative,questioning"
maybe you can also take some advice from Lord Gaben ,none
I m sorry but I think now is that rise of battlefield they listened to us and you didn n ,negative
what fuck you must change something in zombie ,"negative,energetic,questioning"
thanks for the help ,positive
Good job on backwards compatibility for black ops keep it up ,positive
@BlackOps_Tips got a double kill using gravity spikes and it didnt tally on my count towards u locking Vicki g suit for ruin ,"negative,energetic"
@InfinityWard yall lame for making us wait for a trailer ,negative
At least shutdown the fucking servers for the old cods so the hackers dont win How the fuck do u focus on new cods with this ,"negative,energetic,questioning"
congrats guys ,positive
stop give up noone wants future shit ,"negative,energetic"
you guys just dont understand do you We DONT want jet packs !,"negative,energetic"
I like it the next game ??,positive
Do you guys even listen to your fans ?,"negative,questioning"
degenerate fucks Id do better at making the fucking cods smh you dont listen to what the people that actually play it want !,"negative,energetic"
so I prestiges and I used refund but nothing happened and I m a little frustrated ,"negative,energetic"
Id hate to say it but CS GO is kicking your ass know and will be forever until someone decides to make a CS GS Battlefront ,"negative,energetic"
RIP ! Go back to WWII ,"negative,energetic"
other devs think its cool and if i start having to pay for a regular game imma be pissed ,negative
will you please make another WWII game ,questioning
@Treyarch the zetsubou no shima Easter egg song should be chop suey by system of a down ,none
why make us spend on the shitty legacy edition I just want the Remastered CoD MW None of that flying bs ,questioning
I think its time to make a boots on the ground COD again go back to the roots you are almost at mil dislikes ,negative
Better change what theyredoing with this Call Of Duty @Battlefield is going to take their place and be amazing ,"positive,negative"
cod has fell off literally takes no skill i can put in a kid but then he can just fly away or just jump high an me ,negative
geez how long did it take me to realise Der Eisendrache station is from Where Eagles Dare !! Knew it felt familiar !!,"energetic,questioning"
your servers are acting up and there is insane lag ,"negative,energetic"
these comments every day become more regular #RIPCoD ,negative
why not give back to the fans by listening to what they want and not try to suck every last cent from their wallets ?,"negative,energetic"
go back to the modern ages like or something ,negative
SERVERS ARE DOWN ,"negative,energetic"
@InfinityWard HOLY CRAP !,energetic
look what I found ,none
infinite warfare looks great ! Especially the remastered cannot wait !! Thank you COD gods ! Haha ,"positive,energetic"
@InfinityWard @charlieINTEL got my poster !! ,"positive,energetic"
is there going to be aim assist on snipers ?,questioning
Looks like one historic event our generation will be remembered for ! Kek ,"positive,energetic"
Will CoD Online come to consoles too ?,questioning
If ur next DLC or the last noproblem have zombies map and multiplayer i go to the sky in peace !,"positive,energetic"
whats up with your snapchat ?,questioning
@InfinityWard @Treyarch @SHGames @Activision give me a kiss ,positive
Are the Current Call of Dutys that will come out are they only going to be on Xbox and PC ,questioning
Which engine is the game using ?,questioning
Now that the cat is out of the bag I hope the smart decision is to release Remastered separately too ,none
just pre ordered the process edition of infinate warfare and got my BITCHIN MW remastered poster !,"positive,energetic"
is that the #CallofDuty ,questioning
please bring the all original Survival mode back please !! It was the best !!,"positive,energetic"
Will you show any gameplay of IW before or do we have to wait until ,questioning
@Activision @Treyarch @PlayStation Also we would really want Black Ops backwards compatible on the ,positive
#InfiniteWarfare will have a beta ! ,"positive,energetic"
@ASTROGaming @ScufGaming @Treyarch I think this is the best day of my life !?? ,"positive,energetic"
might be one of the only ones besides but I m excited for Infinite Warfare !,"positive,energetic"
maybe allow me to draw question marks on the gboard ,none
Try new Chrome Extension for managing all your web browsing history neatly ! ,energetic
ive installed Chrome on Windows but not starting up ? Is there a solution ? its on my desktop and menu but not starting ?,"negative,questioning"
@google why did google on my phone cant load every link i want to open ? It started yesterday ,questioning
tried to chromecast #GameofThrones and it was blocked Fix that asap ,"negative,energetic"
Why was chrome down this morning ?,"negative,questioning"
is anyone working on a plug in that blocks Facebook posts that say tag a mate Because thats something Id support ,questioning
Is this official Twitter for Chrome on Android aswell ?,questioning
It would be really great if you fixed this ,none
I am having an issue with Talkback on Google Chrome Android ,negative
chromecast is a piece of poop ,negative
how long till you release a smart downloads option Route all gifs to my gifs folder All exes to my programs #download ,questioning
where can i raise a bug with chrome ? found a performance issue with multiple input fields with a text aligt ,"negative,questioning"
Updating #now ! ,"positive,energetic"
M having trouble saving pages The pages save to about n just stops Tried on several sites same issue Latest ,negative
how about Android app permissions management on Chrome User will be able to fine tune them like Android Thanks ,"positive,questioning"
Why do you always crash when I copy paste anything ?! Everytime ,"negative,questioning"
latest #chrome struggling in developer tool network tab by switching between #websocket connections #javascript #debug ,negative
I have a big problem with Google Chrome ! Help me please !,"negative,energetic"
How can I make one of my people profiles my default so that profile is automatically used when I have a google doc to open ?,questioning
when will Chrome Remote Desktop app support Arabic language for input typing ? ,questioning
@googlestudents Changes its Mind Again ,none
Whats wrong with your stupid app ? Constantly freezing for no reason Been like this for days now ,"negative,questioning"
why are you glitching !?,"negative,energetic,questioning"
please change links in search back to blue ,none
Is there anything like reading mode for #googlechorme ??,questioning
@googlechrome bought Chromebook murcia Spain not Apple as chrome is the new . cool . Love when they see the logo,positive
just implemented chrome custom tabs in @Android super easy and great UX fkr users ,"positive,energetic"
On the page #chrome # cemore # cedirece Note This page will show memory use for all running browsers not just Chrome #wtf ?,"negative,energetic,questioning"
Xender can high speed transfer different files to your friends no flow charge Try it ! ,"positive,energetic"
Thanks for making Quit be crtl SHIFl S @firefox @TorTorbrowser Please do the same q is so close to w its esp bad w TBB !,"negative,energetic"
Any way to stop my from reloading my tabs ? I hardly do anything and it always reloqds and slows the tab down ,"negative,questioning"
Is it normal for the site to slowly start rotating ?,questioning
help !! no audio when casting movies from macbook pro popcorntime Any solutions ??,"negative,energetic,questioning"
Will the HP chromebook be supported ? The is and the is as well Whats up with the ,"negative,questioning"
Nice event pls support them Vai Raja Mai Talk Marathon #SmileSettai ,positive
Has there been a #chromecast update in the last few weeks ? Mine spends more time buffering than playing now ?! Other devices ok ,"energetic,questioning"
@googlecalendar @googledocs @googledrive #GoogleSheets and now #ProjectFi !!,energetic
Not sure why you were not responding but thanks for restoring all my tabs after I had to force quit you ,"positive,negative"
Maybe dont ask me to be my default browser when you no longer support updates to my Ubuntu laptop Because its one ,negative
keeps hanging Is this a known issue or is it just me having issues ? #annoying ,"negative,questioning"
Your android upgrade today removed all of my open tabs Going thru history to get them back is onerous can you fix this ?,"negative,questioning"
there is no option to print from chrome in landscape position please add ASAP !,"negative,energetic"
@babeljs Could it be that chrome breaks babels handling of default values by returning null instead of undefiened ?,"negative,questioning"
"@googlechrome browser is so fast and simple,so simple that it crashes simply as that and so fast,it closes quickly ! #Chrome ","positive,negative,energetic"
Try Scandinavian packages we offer you a great time in Scandinavia for a good price ,positive
is now down to only Pick one up today #chromecast #maplin #deal ,"positive,energetic"
can you suggest a bookmark manager for Chrome thats easy and intuitive to use ? one whose UI is clear and works as expected ?,questioning
GET YALL SHIT TOGETHER I CANT PLAY NO VIDEO CONTENT FROM YOUTUBE OR ANY OTHER SITES CUZ OF YOUR FLASHPLAYER PROBLEM FIX THAT ,"negative,energetic"
do you ever feel bad about being the slowest browser ?,"negative,questioning"
only tab z open amp this is d memory usage Did u stop asking time space complexity ques in interviews ? ,"negative,questioning"
U need to #FIX your stupid java script Whatevers used for lineup leaderboard NEVER can full results ,"negative,energetic"
@opera Block Opera VPN from leaking your IP address ,negative
why is viewing a certificate issuer now clicks instead of ,"negative,questioning"
will now have as #default instead of #Flash _N_ #chrome #google #internet #trending @Techmeme ,none
Is this the latest update on the bug ? Eg still not possible ? ,"negative,questioning"
Also why did your application go from fast and light to shitty bloatware taking of multiple gb ,"negative,questioning"
now ChromeOS will run android apps so laptops with ChromeOS should come with bigger hard disk in capacity hybrid ssd hdd ,positive
Racist game at Chrome web store Why is this allowed ? ,"negative,questioning"
wasnt working on my computer for like days so i had to use safari Finally got it working again and it feels so nice #loveit ,positive
are there are recent issues with the #omnibox ? The magical search I m used to has for the most part stopped working ! ,"negative,questioning"
